"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69"
"37","2011 Q2",30020000,30023150,30025250,30131035,30131035,30131035,30131035,30131035,30131035,30183885,30183884,0,0,0,0,30183884,30183884,30183884,30183884,30183884,30183884,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2011 Q3",265762100,296356790,236425797,206905526,157143795,157163795,126989670,127087770,127087770,127087770,127087770,127343079,127343079,127343079,127343079,127551195,127613355,127613355,91512004,91545608,91609658,91676898,60805157,60805157,60805157,60805157,60805157,60805157,60805157,60805157,60805157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2011 Q4",0,0,0,30020580,30067224,30159354,30159354,30159354,30159354,30159354,30159354,30159354,30159354,30159354,30159354,30159354,30159354,30166914,30166914,30166914,30175734,30175734,30175734,30175734,30166914,30166914,30166914,30166914,30175734,30166914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2012 Q1",82614770,82614770,82650125,82640125,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,32503880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2012 Q2",0,0,0,0,0,0,40630860,40637620,40637620,40637620,40637620,40637620,40637620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2012 Q3",0,0,0,46908407,77044623,77279527,80599839,80627649,77572995,77807191,77807191,77814141,77822241,77822241,77822241,77822241,77822241,77822241,77822241,77824479,77824479,77824479,77824479,77824479,78204479,78204479,78204479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2012 Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2013 Q1",0,0,0,0,0,0,0,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,30583354,63388508,64379621,64379621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2013 Q2",5e+07,90188820,39599266,39720877,39731611,39729378,39729378,69924989,69997773,69997773,69997773,69997773,69997773,70048478,70048478,70048478,70055498,70055498,70055498,70055498,70055498,70055498,70055498,70055498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2013 Q3",5e+07,100680000,119975304,107973557,108129298,93080279,93080279,93080279,93080279,93080279,93080279,93080279,123241339,123241339,123241339,123241339,123241339,123241340,123241340,123241340,123241340,123241340,123241340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2013 Q4",6e+07,6e+07,60761766,6e+07,60085477,99727336,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,99538418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2014 Q1",84537493,84862625,117926279,117993235,116977874,117029026,117029026,117029026,117029026,117029026,109927128,143112021,143112021,143105757,116160262,116160261,116160261,116160261,116160261,116160261,116160261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2014 Q2",178281747,165028569,165119624,165209213,165437097,195437097,195468684,205302477,205302477,271714246,271714246,271714246,271714246,271735846,272188528,272189488,272516487,272827489,263740530,263740530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2014 Q3",100025660,50025660,50025660,50235284,50387240,50398040,50487654,50487654,80495914,80495914,80495914,80495914,80495914,80495914,80495914,80495914,80495914,80495914,80495914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2014 Q4",3e+07,72862160,72975932,103004637,103007636,103007636,103007636,133153752,133153752,133153752,103004637,103004637,103004637,103004637,103004637,103004637,103004637,103004637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
